Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
55,FC,2015-04-05,84.2,2.33,5.34,"Lester, Jon",Jon Jay,Jon Lester,,ball,,,,,9,Jon Jay called out on strikes.,R,L,L,CHC,STL,B,,,0,1,2015,-0.34,0.86,0.29,1.65,,,Kolten Wong,1,4,Top,,,,,David Ross,,150405_203246,-4.48,-122.41,-3.78,-2.36,22.28,-25.1,3.45,1.58,,,,,2209.0,5.9,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,30,2,Cutter,0,2,2,0,2,0,2,0,Standard,Strategic,,-0.041,0.026
56,FF,2015-04-05,89.7,1.97,5.26,"Lester, Jon",Jon Jay,Jon Lester,,foul,,,,,4,Jon Jay called out on strikes.,R,L,L,CHC,STL,S,,,0,0,2015,0.78,1.78,-0.7,2.33,,,Kolten Wong,1,4,Top,,,,,David Ross,,150405_203224,-9.03,-130.3,-4.94,11.17,28.47,-13.25,3.49,1.58,,,,,2177.0,6.5,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,30,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Strategic,,0.0,-0.043
59,FC,2015-04-05,87.4,2.1,5.31,"Lester, Jon",Kolten Wong,Jon Lester,force_out,hit_into_play,,,,,13,"Kolten Wong grounds into a force out, second baseman Tommy La Stella to shortstop Starlin Castro.   Yadier Molina out at 2nd.    Kolten Wong to 1st.",R,L,L,CHC,STL,X,4.0,ground_ball,1,2,2015,-0.14,0.93,-1.24,1.41,,,Yadier Molina,0,4,Top,142.12,154.45,,,David Ross,,150405_203138,-8.36,-126.88,-5.13,-0.15,22.63,-23.71,3.13,1.45,,82.9,-21.0,87.1,2352.0,5.8,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,0.08,0.076,0.0,1.0,0.0,0.0,2.0,29,5,Cutter,0,2,2,0,2,0,2,0,Standard,Strategic,,0.025,-0.391
61,FF,2015-04-05,92.4,2.14,5.35,"Lester, Jon",Kolten Wong,Jon Lester,,foul,,,,,11,"Kolten Wong grounds into a force out, second baseman Tommy La Stella to shortstop Starlin Castro.   Yadier Molina out at 2nd.    Kolten Wong to 1st.",R,L,L,CHC,STL,S,,,1,2,2015,0.57,1.69,-0.42,3.51,,,Yadier Molina,0,4,Top,,,,,David Ross,,150405_203114,-8.48,-134.41,-2.34,9.12,31.16,-13.28,3.13,1.45,,,,92.8,743.0,6.5,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,29,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,0.0
63,FF,2015-04-05,91.4,2.15,5.33,"Lester, Jon",Kolten Wong,Jon Lester,,swinging_strike,,,,,3,"Kolten Wong grounds into a force out, second baseman Tommy La Stella to shortstop Starlin Castro.   Yadier Molina out at 2nd.    Kolten Wong to 1st.",R,L,L,CHC,STL,S,,,1,1,2015,0.67,1.66,0.37,2.95,,,Yadier Molina,0,4,Top,,,,,David Ross,,150405_203052,-6.6,-133.03,-3.52,10.17,31.81,-14.1,3.13,1.45,,,,91.7,2205.0,6.5,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,29,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,-0.086
65,FF,2015-04-05,89.8,2.1,5.38,"Lester, Jon",Kolten Wong,Jon Lester,,swinging_strike,,,,,2,"Kolten Wong grounds into a force out, second baseman Tommy La Stella to shortstop Starlin Castro.   Yadier Molina out at 2nd.    Kolten Wong to 1st.",R,L,L,CHC,STL,S,,,1,0,2015,0.64,1.76,0.16,2.7,,,Yadier Molina,0,4,Top,,,,,David Ross,,150405_203033,-6.8,-130.62,-4.25,9.44,30.36,-13.51,3.13,1.45,,,,90.2,2147.0,6.6,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,29,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,-0.06
66,FC,2015-04-05,87.8,2.42,5.54,"Lester, Jon",Kolten Wong,Jon Lester,,ball,,,,,12,"Kolten Wong grounds into a force out, second baseman Tommy La Stella to shortstop Starlin Castro.   Yadier Molina out at 2nd.    Kolten Wong to 1st.",R,L,L,CHC,STL,B,,,0,0,2015,-0.2,1.07,1.02,3.91,,,Yadier Molina,0,4,Top,,,,,David Ross,,150405_202950,-3.38,-127.83,0.22,-0.8,24.77,-22.0,3.13,1.45,,,,87.8,2255.0,6.0,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,29,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,0.051
68,FF,2015-04-05,90.0,2.18,5.47,"Lester, Jon",Yadier Molina,Jon Lester,walk,ball,,,,,12,Yadier Molina walks.,R,R,L,CHC,STL,B,,,3,1,2015,0.41,1.85,0.99,3.42,,,,0,4,Top,,,,,David Ross,,150405_202913,-4.35,-131.0,-2.94,6.66,29.49,-12.2,3.51,1.57,,,,90.1,2206.0,6.3,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,0.7,1.0,0.0,0.0,,28,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,-0.027,0.228
71,FF,2015-04-05,89.8,2.13,5.39,"Lester, Jon",Yadier Molina,Jon Lester,,swinging_strike,,,,,2,Yadier Molina walks.,R,R,L,CHC,STL,S,,,3,0,2015,0.7,1.72,0.06,3.29,,,,0,4,Top,,,,,David Ross,,150405_202859,-7.31,-130.55,-2.65,10.18,31.14,-14.06,3.51,1.57,,,,89.8,2156.0,6.5,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,28,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,-0.063
73,FF,2015-04-05,91.4,1.95,5.3,"Lester, Jon",Yadier Molina,Jon Lester,,ball,,,,,13,Yadier Molina walks.,R,R,L,CHC,STL,B,,,2,0,2015,0.73,1.98,-1.25,1.36,,,,0,4,Top,,,,,David Ross,,150405_202844,-10.47,-132.44,-8.36,10.95,28.73,-10.11,3.51,1.57,,,,90.6,2242.0,5.9,413661,452657,424325,Anthony Rizzo,Tommy La Stella,Mike Olt,Starlin Castro,Chris Coghlan,Dexter Fowler,Jorge Soler,50,,,,,,,,28,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,,0.0,0.118
